"","thresholds","TPR","FPR","NB","time","model"
"1526",0.0723912681787889,0.118884897810413,0.881115102189587,0.0501220267087622,12,"All-12"
"1527",0.0725465863275723,0.118884897810413,0.881115102189587,0.0499629531788072,12,"All-12"
"1528",0.0728117177938986,0.118884897810413,0.881115102189587,0.0496912880595191,12,"All-12"
"1529",0.0728287285989663,0.118884897810413,0.881115102189587,0.0496738527519858,12,"All-12"
"1530",0.0734415986529299,0.118884897810413,0.881115102189587,0.0490452615738149,12,"All-12"
"1531",0.0737678842091249,0.118884897810413,0.881115102189587,0.0487102669321329,12,"All-12"
"1532",0.0742943988301573,0.118884897810413,0.881115102189587,0.0481692007954851,12,"All-12"
"1533",0.0759897572634256,0.118884897810413,0.881115102189587,0.0464227976737007,12,"All-12"
"1534",0.0762200561922046,0.118884897810413,0.881115102189587,0.0461850702693812,12,"All-12"
"1535",0.0765168802772878,0.118884897810413,0.881115102189587,0.0458784969949927,12,"All-12"
"1536",0.0767313443386833,0.118884897810413,0.881115102189587,0.0456568661930104,12,"All-12"
"1537",0.0769003021372137,0.118884897810413,0.881115102189587,0.0454821898115709,12,"All-12"
"1538",0.0770716291527618,0.118884897810413,0.881115102189587,0.0453049987175785,12,"All-12"
"1539",0.0772413044722661,0.118884897810413,0.881115102189587,0.0451294510037971,12,"All-12"
"1540",0.077313313575252,0.118884897810413,0.881115102189587,0.0450549301803014,12,"All-12"
"1541",0.077491000985355,0.118884897810413,0.881115102189587,0.0448709951548132,12,"All-12"
"1542",0.0776207220570354,0.118884897810413,0.881115102189587,0.0447366682449785,12,"All-12"
"1543",0.0777915545802287,0.118884897810413,0.881115102189587,0.0445597125403456,12,"All-12"
"1544",0.0784022032365589,0.118884897810413,0.881115102189587,0.0439266399247317,12,"All-12"
"1545",0.07861901396247,0.118884897810413,0.881115102189587,0.0437016657149712,12,"All-12"
"1546",0.0787796343350494,0.118884897810413,0.881115102189587,0.0435349292852581,12,"All-12"
"1547",0.079644815208477,0.118884897810413,0.881115102189587,0.0426358032750413,12,"All-12"
"1548",0.0801619120560946,0.118884897810413,0.881115102189587,0.0420976107228553,12,"All-12"
"1549",0.0804457733174198,0.118884897810413,0.881115102189587,0.041801911597609,12,"All-12"
"1550",0.0812452063693245,0.118884897810413,0.881115102189587,0.0409681578828515,12,"All-12"
"1551",0.0812812742393577,0.118884897810413,0.881115102189587,0.0409305073649408,12,"All-12"
"1552",0.0816357086621453,0.118884897810413,0.881115102189587,0.0405603631365103,12,"All-12"
"1553",0.0820886341182973,0.118884897810413,0.881115102189587,0.0400869463652089,12,"All-12"
"1554",0.0821230712321894,0.118884897810413,0.881115102189587,0.0400509321304912,12,"All-12"
"1555",0.0823105437046927,0.118884897810413,0.881115102189587,0.0398548265481548,12,"All-12"
"1556",0.0824407756055267,0.118884897810413,0.881115102189587,0.0397185502973246,12,"All-12"
"1557",0.0824830056926635,0.118884897810413,0.881115102189587,0.0396743519123917,12,"All-12"
"1558",0.0824861824878241,0.118884897810413,0.881115102189587,0.0396710268857673,12,"All-12"
"1559",0.0826100416278996,0.118884897810413,0.881115102189587,0.0395413704406384,12,"All-12"
"1560",0.0830720880514012,0.118884897810413,0.881115102189587,0.0390573885823852,12,"All-12"
"1561",0.0833822981754705,0.118884897810413,0.881115102189587,0.038732177618078,12,"All-12"
"1562",0.0834982093448579,0.118884897810413,0.881115102189587,0.0386106048306347,12,"All-12"
"1563",0.0836170828303942,0.118884897810413,0.881115102189587,0.0384858930903566,12,"All-12"
"1564",0.0839225374171061,0.118884897810413,0.881115102189587,0.0381652882221659,12,"All-12"
"1565",0.0842190964080585,0.118884897810413,0.881115102189587,0.0378538155429814,12,"All-12"
"1566",0.0842238321988709,0.118884897810413,0.881115102189587,0.0378488399570023,12,"All-12"
"1567",0.0844492160371507,0.118884897810413,0.881115102189587,0.037611984366625,12,"All-12"
"1568",0.0850919450452683,0.118884897810413,0.881115102189587,0.0369359003695911,12,"All-12"
"1569",0.085222809655899,0.118884897810413,0.881115102189587,0.036798128013939,12,"All-12"
"1570",0.0852316607108504,0.118884897810413,0.881115102189587,0.0367888083290176,12,"All-12"
"1571",0.0853827355483027,0.118884897810413,0.881115102189587,0.0366297068339227,12,"All-12"
"1572",0.0857925390507237,0.118884897810413,0.881115102189587,0.036197865553763,12,"All-12"
"1573",0.0860674575095038,0.118884897810413,0.881115102189587,0.0359079459097498,12,"All-12"
"1574",0.0861096655807794,0.118884897810413,0.881115102189587,0.0358634192695145,12,"All-12"
"1575",0.0866401507786436,0.118884897810413,0.881115102189587,0.0353034426236908,12,"All-12"
"1576",0.0872168560371199,0.118884897810413,0.881115102189587,0.0346939379662565,12,"All-12"
"1577",0.0874077906119709,0.118884897810413,0.881115102189587,0.0344919744817347,12,"All-12"
"1578",0.0879732189387801,0.118884897810413,0.881115102189587,0.0338933894415515,12,"All-12"
"1579",0.0880752838803208,0.118884897810413,0.881115102189587,0.0337852603241082,12,"All-12"
"1580",0.0881657281265272,0.118884897810413,0.881115102189587,0.0336894221147986,12,"All-12"
"1581",0.0883010882010352,0.118884897810413,0.881115102189587,0.033545953838016,12,"All-12"
"1582",0.0888553537215517,0.118884897810413,0.881115102189587,0.0329580426242046,12,"All-12"
"1583",0.0890236964005724,0.118884897810413,0.881115102189587,0.032779339365748,12,"All-12"
"1584",0.0891048280072907,0.118884897810413,0.881115102189587,0.0326931909606832,12,"All-12"
"1585",0.0892183901047217,0.118884897810413,0.881115102189587,0.0325725809385875,12,"All-12"
"1586",0.0892809976790915,0.118884897810413,0.881115102189587,0.0325060749318698,12,"All-12"
"1587",0.0899142862389319,0.118884897810413,0.881115102189587,0.0318328385265551,12,"All-12"
"1588",0.0901404586926949,0.118884897810413,0.881115102189587,0.0315921719921925,12,"All-12"
"1589",0.0901613469967022,0.118884897810413,0.881115102189587,0.0315699390423748,12,"All-12"
"1590",0.0902606244481257,0.118884897810413,0.881115102189587,0.0314642568317137,12,"All-12"
"1591",0.0911929164496209,0.118884897810413,0.881115102189587,0.0304706926937775,12,"All-12"
"1592",0.0913946790618171,0.118884897810413,0.881115102189587,0.0302554014544076,12,"All-12"
"1593",0.0914132758813135,0.118884897810413,0.881115102189587,0.0302355528645283,12,"All-12"
